name,chime_event_id,ra_frb,dec_frb,b_err,a_err,theta,tags,frb_survey,DM,include,Localization & PATH note,HG/Science note,DESI quicklook
FRB20230414A,282988614,304.47601,84.899695,0.000556,0.003969,6.007379,CHIME-KKO,CHIME/FRB,501.02,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=304.47601&dec=84.899695&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230828A,313479875,22.287034,34.429645,0.000556,0.003468,10.180043,CHIME-KKO,CHIME/FRB,377.281,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=22.287034&dec=34.429645&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230314A,276387136,310.2887904,6.9556754,0.000556,0.003140776515,7.327115868,CHIME-KKO,CHIME/FRB,429.041,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=310.2887904&dec=6.9556754&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230411A,282352003,280.057377,47.495064,0.000556,0.003304,9.456615,CHIME-KKO,CHIME/FRB,551.162,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=280.057377&dec=47.495064&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230802A,307424887,339.2845,30.788721,0.000556,0.003818,9.047058,CHIME-KKO,CHIME/FRB,305.303,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=339.2845&dec=30.788721&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230703A,300938875,184.624449,48.729933,0.000556,0.005593,9.727547,CHIME-KKO,CHIME/FRB,290.745,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=184.624449&dec=48.729933&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230730A,306528286,54.664564,33.159296,0.000556,0.003393,9.909355,CHIME-KKO,CHIME/FRB,312.581,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=54.664564&dec=33.159296&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230203A,268786306,151.661594,35.694096,0.000556,0.004994,10.148386,CHIME-KKO,CHIME/FRB,417.302,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=151.661594&dec=35.694096&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230222A,272350056,106.960358,11.224524,0.000556,0.005935,7.575682,CHIME-KKO,CHIME/FRB,708.442,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=106.960358&dec=11.224524&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230702A,300895079,132.124693,26.389497,0.000556,0.00424,8.421692,CHIME-KKO,CHIME/FRB,598.878,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=132.124693&dec=26.389497&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20221209A,254837189,297.369563,59.406184,0.000556,0.003586,7.033855,CHIME-KKO,CHIME/FRB,792.169,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=297.369563&dec=59.406184&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230616A,296843842,184.614579,28.356649,0.000556,0.00472,8.603507,CHIME-KKO,CHIME/FRB,918.334,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=184.614579&dec=28.356649&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230720A,304166930,4.454435,21.271245,0.000556,0.003793,8.261756,CHIME-KKO,CHIME/FRB,532.965,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=4.454435&dec=21.271245&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
